trial,adapter_rank,adapter_alpha,dropout,learning_rate,best_epoch,selection_log_loss,selected
reference_r16,16,32,0.05,0.00020,3,1.0250667423,false
low_lr_r16,16,32,0.05,0.00012,5,1.0479100050,false
high_lr_r16,16,32,0.05,0.00028,3,1.0162713446,true
rank32,32,64,0.05,0.00020,2,1.0380541748,false
rank32_dropout10,32,64,0.10,0.00020,1,1.0804627989,false
