rank,run_id,experiment_id,owner,title,track,parent_experiment_id,changed_factor,model_name,model_revision,seed,evaluation_role,smoke_test,status,primary_metric,primary_metric_direction,log_loss,accuracy,macro_f1,ece_15,brier_score,swap_error_l1,runtime_seconds,peak_gpu_memory_mb,train_runtime_seconds,git_commit,git_dirty,clearml_task_id,tracking_status,started_at,ended_at,duration_seconds
1,E20260914010000000000__s42__e76c1fcb__20260913T215932089199Z,E20260914010000000000,Karim,E2 QLoRA multi-seed candidate - seed 42,ablation,E20260909170000000000,Training seed only; this is the fixed seed-42 member of the three-seed comparison.,microsoft/deberta-v3-base,8ccc9b6f36199bec6961081d44eb72fb3f7353f3,42,selection,False,completed,log_loss,minimize,1.0150546817869401,0.48746954403063003,0.4841961523147757,0.015831790828040287,0.6086397807564002,0.16376337184859657,989.3303415793926,4249.52978515625,988.933120360598,e76c1fcb6578542a18d426126a521cd91b4d6713,False,,unavailable,2026-09-13T21:59:32.089561+00:00,2026-09-13T22:16:01.420286+00:00,989.3303415793926
2,E20260914010000000001__s17__e76c1fcb__20260913T215750408015Z,E20260914010000000001,Karim,E2 QLoRA multi-seed candidate - seed 17,ablation,E20260909170000000000,Training seed only: 17 instead of the reference seed 42.,microsoft/deberta-v3-base,8ccc9b6f36199bec6961081d44eb72fb3f7353f3,17,selection,False,completed,log_loss,minimize,1.028002362902488,0.46710755308040375,0.4677666829876805,0.03339621503768694,0.618155516230347,0.19700837916718045,982.7407870441675,4249.52978515625,982.3535057045519,e76c1fcb6578542a18d426126a521cd91b4d6713,False,,unavailable,2026-09-13T21:57:50.408341+00:00,2026-09-13T22:14:13.149487+00:00,982.7407870441675
3,E20260914010000000002__s73__e76c1fcb__20260913T215755892892Z,E20260914010000000002,Karim,E2 QLoRA multi-seed candidate - seed 73,ablation,E20260909170000000000,Training seed only: 73 instead of the reference seed 42.,microsoft/deberta-v3-base,8ccc9b6f36199bec6961081d44eb72fb3f7353f3,73,selection,False,completed,log_loss,minimize,1.0280742872251856,0.47354681517577446,0.4732806203124737,0.01774713695997409,0.6178141509183811,0.16071639941841784,989.0739562539966,4249.52978515625,988.6611239369959,e76c1fcb6578542a18d426126a521cd91b4d6713,False,,unavailable,2026-09-13T21:57:55.893381+00:00,2026-09-13T22:14:24.967737+00:00,989.0739562539966
4,E20260905212645934620__s42__38aea1ac__20260907T052625009035Z,E20260905212645934620,Karim,E2 - DeBERTa full vs LoRA vs QLoRA,neural,E002,Fine-tuning method: full fine-tuning versus LoRA versus QLoRA on the same pinned DeBERTa backbone and frozen evaluation protocol.,microsoft/deberta-v3-base,8ccc9b6f36199bec6961081d44eb72fb3f7353f3,42,selection,False,completed,log_loss,minimize,1.03428689372673,0.46171249564914724,0.4589995867388075,0.011589051004869287,0.6221321938505519,0.16203328866204142,3606.39901221171,,,38aea1ac88ed62991dc18ce7fb35a93c374a7c7a,False,,unavailable,2026-09-07T05:26:25.009473+00:00,2026-09-07T06:26:31.436489+00:00,3606.39901221171
5,E202609140001__s42__db7d97bf__20260914T193728535694Z,E202609140001,nikita,Sprint 2 sparse TF-IDF sweep,classical,E20260909125010457517,"Starting from the verified B2 control, sequentially vary one word or character n-gram, vocabulary, min_df, or SGD alpha setting while keeping all other settings fixed.",word-char-tfidf-linear-logistic,sprint2-sequential-sweep-v2,42,selection,False,completed,log_loss,minimize,1.0357560092080247,0.47354681517577446,0.465951258411853,0.01878514845906754,0.6206960634422526,0.031225864628237024,4467.185103984999,,,db7d97bf344e262ba6c6a5bc3ef71ebaf0c14916,False,89ac2f0b9c764ff6a57ec4d93be6a356,closed,2026-09-14T19:37:28.536398+00:00,2026-09-14T20:52:07.310310+00:00,4467.185103984999
6,E20260909125010457517__s42__c8fe0494__20260909T141523483727Z,E20260909125010457517,avlaptev,B2 Word and character TF-IDF baseline,classical,E002,Replace structural-only inputs with combined word- and character-level TF-IDF response features and prompt-response similarities.,word-char-tfidf-linear-logistic,,42,selection,False,completed,log_loss,minimize,1.0405153766726194,0.4691959624086321,0.46153430451758787,0.01621290202987025,0.6232728300930368,0.017717684906062618,555.3253124999974,,,c8fe0494e131470e3775b4fafcff4f811ee6dec8,False,18fbcfec3b974caeb56bee8107664ebf,unavailable,2026-09-09T14:15:23.484447+00:00,2026-09-09T14:24:38.809759+00:00,555.3253124999974
7,E20260905212645934620__s42__02396816__20260907T042401771291Z,E20260905212645934620,Karim,E2 - DeBERTa full vs LoRA vs QLoRA,neural,E002,Fine-tuning method: full fine-tuning versus LoRA versus QLoRA on the same pinned DeBERTa backbone and frozen evaluation protocol.,microsoft/deberta-v3-base,8ccc9b6f36199bec6961081d44eb72fb3f7353f3,42,selection,False,completed,log_loss,minimize,1.058779040244277,0.4448311869126349,0.4426667946775593,0.026773035248499104,0.6390692150048828,0.14025459792847536,2664.256081290543,,,0239681675a19db8ec7d77f47f46537db96c5779,False,,unavailable,2026-09-07T04:24:01.771772+00:00,2026-09-07T05:08:26.047673+00:00,2664.256081290543
8,E002__s20260903__0894cdbc__20260905T000853164661Z,E002,team-lead,Structural logistic regression baseline,classical,,Replace constant probabilities with structural bias features and logistic regression.,structural-logistic-regression,bias-baseline-v1,20260903,selection,False,completed,log_loss,minimize,1.0630326821462381,0.4469195962408632,0.44013726159212646,0.026154015655685668,0.6398066333597401,3.958177555634159e-05,68.32098775001941,,,0894cdbc9b462bb5a97de633e238921eb2b1cb93,False,,disabled,2026-09-05T00:08:53.165292+00:00,2026-09-05T00:10:01.486432+00:00,68.32098775001941
9,E20260905212645934620__s42__810967c4__20260906T233528940644Z,E20260905212645934620,Karim,E2 - DeBERTa full vs LoRA vs QLoRA,neural,E002,Fine-tuning method: full fine-tuning versus LoRA versus QLoRA on the same pinned DeBERTa backbone and frozen evaluation protocol.,microsoft/deberta-v3-base,8ccc9b6f36199bec6961081d44eb72fb3f7353f3,42,selection,False,completed,log_loss,minimize,1.0807031953365593,0.4284719805081796,0.4266821248189802,0.04570296048201742,0.6547428044181788,0.019493893423399838,1463.5596085451543,,,810967c4f0e107ab8785a82223dfef47665c69dd,False,,unavailable,2026-09-06T23:35:28.941134+00:00,2026-09-06T23:59:52.513311+00:00,1463.5596085451543
