model,evaluation_role,fold,log_loss,accuracy,macro_f1,ece_15,brier_score,selection_status
Structural Logistic Regression,selection,7,1.0630326821462381,0.4469195962408632,0.44013726159212646,0.026154015655685668,,baseline
Word + character TF-IDF,selection,7,1.0405153766726194,0.4691959624086321,0.46153430451758787,0.01621290202987025,0.6232728300930368,baseline
Improved sparse TF-IDF,selection,7,1.0357560092080247,0.47354681517577446,0.465951258411853,0.01878514845906754,0.6206960634422526,selected_for_ensemble
DeBERTa QLoRA seed 42,selection,7,1.0150546817869401,0.48746954403063003,0.4841961523147757,0.015831790828040287,0.6086397807564002,selected_for_ensemble
DeBERTa QLoRA seed mean,selection,7,1.0188946112366264,0.48016011138183085,0.48000657520896256,0.015474841730169669,0.6115035781697088,not_selected
Calibrated DeBERTa QLoRA seed 42,calibration,8,1.0089200366290647,0.4871259568545581,0.4834898318031964,0.018331981658073582,0.6042167548660412,comparison
Calibrated improved sparse TF-IDF,calibration,8,1.0260862426322102,0.4979123173277662,0.4921360749954813,0.03329246165603433,0.6104345084411987,comparison
Frozen DeBERTa plus sparse ensemble,calibration,8,0.9969729529400194,0.500347947112039,0.4952108532020038,0.011112061218629433,0.5963516880873161,frozen_final_candidate
