candidate,seed,run_id,log_loss,accuracy,macro_f1,ece_15,brier_score,swap_error_l1
seed_42,42,E20260914010000000000__s42__e76c1fcb__20260913T215932089199Z,1.0150546817869401,0.48746954403063003,0.4841961523147757,0.0158317908280403,0.6086397807564002,0.1637633718485966
three_seed_mean,17+42+73,E20260914010000000000__s42__e76c1fcb__20260913T215932089199Z+E20260914010000000001__s17__e76c1fcb__20260913T215750408015Z+E20260914010000000002__s73__e76c1fcb__20260913T215755892892Z,1.0188946112366264,0.48016011138183085,0.48000657520896256,0.015474841730169669,0.6115035781697088,0.13604756819230235
seed_17,17,E20260914010000000001__s17__e76c1fcb__20260913T215750408015Z,1.0280023629024877,0.46710755308040375,0.4677666829876805,0.03339621503768695,0.618155516230347,0.19700837916718045
seed_73,73,E20260914010000000002__s73__e76c1fcb__20260913T215755892892Z,1.0280742872251856,0.47354681517577446,0.4732806203124737,0.01774713695997413,0.6178141509183811,0.16071639941841787
